File,Last Name,First Name,Street Address 1,Street Address 2,City,State,Zip Code,Phone,Email,License Number,License Status,Company Domain,Company,Full Name,County,Issue Date,Expiration Date,Fax Number,DBA Name
http://search.msboc.us/Detail.cfm?ContractorID=22386&ContractorType=Commercial&varDataSource=BOC,,,1215 HYLAND AVE,,KAUKAUNA,WI,54130,920-759-2500,,19151-SC,,,BASSETT INC DBA,SCOTT MESHNICK,,10/05/2011,07/10/2019,920-759-2525,BASSETT MECHANICAL
http://search.msboc.us/Detail.cfm?ContractorID=25098&ContractorType=Commercial&varDataSource=BOC,,,ATTN: LEGAL DEPT 225 ROY STREET,,"ST-EUSTACHE, QUEBEC",-,J7R 5R5,450-472-0024,,21369-SC,,,"BATH FITTER TENNESSEE, INC.",SHANE FULMER,,09/30/2015,09/17/2019,450-472-1615,
http://search.msboc.us/Detail.cfm?ContractorID=28369&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 16343,,MOBILE,AL,36616,251-610-0276,,22421-SC,,,BEASLEY PLUMBING & PIPING INC,GARY BEASLEY II,,09/27/2017,09/27/2019,251-380-6996,
http://search.msboc.us/Detail.cfm?ContractorID=15578&ContractorType=Commercial&varDataSource=BOC,,,565 PORT GIBSON STREET,,RAYMOND,MS,39154,(601)857-2105,,10683,,,"BILLY PAPE PLUMBING, INC.",WILLIAM C. PAPE/JOSEPH PAPE,HINDS,12/11/1996,10/08/2019,(601)857-2107,
http://search.msboc.us/Detail.cfm?ContractorID=21058&ContractorType=Commercial&varDataSource=BOC,,,2415 CEDAR DALE DR.,,GERMANTOWN,TN,38139,901-301-3280,,18163-SC,,,"BLAIR PLUMBING, LLC",FREDDY BLAIR,,01/25/2010,01/14/2020,901-759-1561,
http://search.msboc.us/Detail.cfm?ContractorID=24965&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 1046,,PETAL,MS,39465,601-582-2336,,20997-SC,,,"BOWMAN HEATING AND AIR, INC.",ZACHARY BOWMAN,FORREST,02/18/2015,08/10/2019,601-583-6560,
http://search.msboc.us/Detail.cfm?ContractorID=22991&ContractorType=Commercial&varDataSource=BOC,,,7465 OAK DR. WEST,,THEODORE,AL,36582,251-973-2234,,19512-SC,,,BRIAN HARDEN PLUMBING INC,BRIAN HARDEN,,05/23/2012,04/17/2020,251-654-0970,
http://search.msboc.us/Detail.cfm?ContractorID=10469&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 9491,,MOBILE,AL,36691,(334)660-8374,,09032-MC,,,"BRIM CONSTRUCTION GROUP, INC.","ERNEST L. IMSAND, III",,01/08/1992,01/14/2020,(334)660-0023,
http://search.msboc.us/Detail.cfm?ContractorID=19479&ContractorType=Commercial&varDataSource=BOC,,,14405 CULLEN ST.,,BILOXI,MS,39532,228-875-5177,,16585-MC,,,"BROUSSARD PLUMBING, INC.",DANIEL MYERS,HARRISON,01/09/2008,01/14/2020,,
http://search.msboc.us/Detail.cfm?ContractorID=28596&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 1009,,INDIANOLA,MS,38751,662-887-1146,,22534-MC,,,"BROWN & ASSOCIATES, INC.",R L BRAND,SUNFLOWER,12/06/2017,12/06/2019,662-887-1147,
http://search.msboc.us/Detail.cfm?ContractorID=10553&ContractorType=Commercial&varDataSource=BOC,,,1888 MAIN STREET STE. C-262,,MADISON,MS,39110,(601)898-8100,,05782-SC,,,"BUFKIN MECHANICAL, INC.",JESSE-RONNIE-SHIRLEY BUFKIN,MADISON,07/05/1983,10/22/2019,(601)898-8100,
http://search.msboc.us/Detail.cfm?ContractorID=10566&ContractorType=Commercial&varDataSource=BOC,,,2 ROSEWOOD DR.,,WILDER,KY,41076-,(859)781-9500,,15521-MC,,,"BUILDING CRAFTS, INC.",MARTIN ZALLA/ DAVID CLARK,,07/12/2006,07/08/2019,(859)781-9505,
http://search.msboc.us/Detail.cfm?ContractorID=24682&ContractorType=Commercial&varDataSource=BOC,,,544 STONE CREEK DR.,,HULL,GA,30646,706-425-2266,,20652-SC,,,C & S RESIDENTIAL & COMMERCIAL PLUMBING INC.,RANDY COLQUITT,,07/16/2014,07/16/2020,706-425-2270,
http://search.msboc.us/Detail.cfm?ContractorID=22776&ContractorType=Commercial&varDataSource=BOC,,,2811 8TH AVENUE,,CHATTANOOGA,TN,37407,423-622-2280,,19334-MC,,,"CALLAHAN MECHANICAL CONTRACTORS, INC",MAURICE WAYNE SMITH,,02/08/2012,01/14/2020,423-698-1446,
http://search.msboc.us/Detail.cfm?ContractorID=26869&ContractorType=Commercial&varDataSource=BOC,,,1603 KENSINGTON STREET,,OCEAN SPRINGS,MS,39564,228-424-4064,,22089-MC,,,CARR-HAMILTON RENOVATION SPECIALISTS LLC,THOMAS RECORE,JACKSON,02/15/2017,02/15/2020,228-447-4253,
http://search.msboc.us/Detail.cfm?ContractorID=13472&ContractorType=Commercial&varDataSource=BOC,,,"5650 DIXIE DR., STE. A",,PENSACOLA,FL,32503,(850)477-0388,,13813-SC,,,CASEY HYMAN PLUMBING INC.,LOUIS FARMER,,04/09/2003,05/09/2020,(850)477-0381,
http://search.msboc.us/Detail.cfm?ContractorID=26369&ContractorType=Commercial&varDataSource=BOC,,,1149 COUNTY RD. 442,,POPLAR BLUFF,MO,63901,573-785-7993,,21850-SC,,,"CHARLES EDWARD NORTON, II OF CE NORTON",CHARLES EDWARD NORTON II,,08/26/2016,08/26/2019,573-686-0198,"CONSTRUCTION AND PLUMBING, INC."
http://search.msboc.us/Detail.cfm?ContractorID=11353&ContractorType=Commercial&varDataSource=BOC,,,347 STEVENS STREET EAST,,COOKEVILLE,TN,38501-3541,(931)528-5514,,08677-SC,,,"CHC MECHANICAL CONTRACTORS, INC.",NEIL D. DUFFIELD,,01/02/1991,01/14/2020,(931)526-2408,
http://search.msboc.us/Detail.cfm?ContractorID=11011&ContractorType=Commercial&varDataSource=BOC,,,2502 COMMERCIAL PARK DR,,MOBILE,AL,36606,(334)471-2425,,07671-MC,,,CIMCO REFRIGERATION INC,DON RHODES,,04/05/1988,07/08/2019,(334)476-7337,
http://search.msboc.us/Detail.cfm?ContractorID=23232&ContractorType=Commercial&varDataSource=BOC,,,786 RIVER RD.,,FAYETTE,MS,39069,601-597-4808,,19717-MC,,,CLIFTON RANKIN CONSTRUCTION LLC,CLIFTON RANKIN,JEFFERSON,10/17/2012,01/04/2020,601-786-0100,
http://search.msboc.us/Detail.cfm?ContractorID=27989&ContractorType=Commercial&varDataSource=BOC,,,601 FOREST AVE,,LONG BEACH,MS,39560,228-223-4648,,22193-SC,,,"COAST CONSTRUCTION SERVICES, LLC",RONALD SMITH,HARRISON,04/19/2017,04/19/2020,,
http://search.msboc.us/Detail.cfm?ContractorID=12944&ContractorType=Commercial&varDataSource=BOC,,,3100 RICHARD ARRINGTON JR BLVD N,,BIRMINGHAM,AL,35203,205-664-0620,,11826-MC,,,"COMFORT SYSTEMS USA (MID SOUTH), INC.",TOM LAMPKIN/H.B. MITCHELL/CHARLES SMITH,,07/14/1999,05/02/2020,205-663-1312,
http://search.msboc.us/Detail.cfm?ContractorID=18598&ContractorType=Commercial&varDataSource=BOC,,,435 CORDAY ST.,,PENSACOLA,FL,32503,850-484-4999,,15704-SC,,,"COMFORT SYSTEMS USA (SOUTHEAST), INC.",RICKY LOCKETT,,10/11/2006,10/11/2019,850-484-4941,
http://search.msboc.us/Detail.cfm?ContractorID=11171&ContractorType=Commercial&varDataSource=BOC,,,3664 GUYTON ROAD,,HOOVER,AL,35244,(205)305-7252,,14697-MC,,,"COMMERCIAL CONSTRUCTION & MAINTENANCE, INC.",JAMES MCCOY,,04/13/2005,05/03/2020,(205)424-2379,
http://search.msboc.us/Detail.cfm?ContractorID=11279&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 987,,SEMMES,AL,36575,(251)645-4147,,11630-MC,,,"CONSTRUCTION LABOR SERVICES, INC.",DEBBIE BISHOP,,01/29/1997,01/14/2020,(251)645-6115,
http://search.msboc.us/Detail.cfm?ContractorID=29161&ContractorType=Commercial&varDataSource=BOC,,,5965 HWY 18W STE. 309,,JACKSON,MS,39209,769-216-3757,,22927-MC,,,CONSTRUCTION SPECIALISTS LLC,DARRELL MCQUIRTER,HINDS,10/03/2018,10/03/2019,769-243-8115,
http://search.msboc.us/Detail.cfm?ContractorID=19689&ContractorType=Commercial&varDataSource=BOC,,,40311 FLOWER FARM ROAD,,HAMILTON,MS,39746,662-251-5454,,16795-MC,,,"CONTINENTAL PLUMBING, INC.",JAMES WALTER/MIKE WALTERS,MONROE,04/09/2008,04/09/2020,,
http://search.msboc.us/Detail.cfm?ContractorID=11465&ContractorType=Commercial&varDataSource=BOC,,,6645 NAVY ROAD,,MILLINGTON,TN,38053,901-873-0410,,10732-SC,,,"CRENSHAW PLUMBING COMPANY, LLC",J.D. CRENSHAW,,01/23/1997,04/04/2020,901-290-0999,
http://search.msboc.us/Detail.cfm?ContractorID=11472&ContractorType=Commercial&varDataSource=BOC,,,1220 18TH STREET,,TUSCALOOSA,AL,35401,(205)759-1314,,06906-MC,,,"CRIMSON EAGLE, INC.",JASON RILEY,,04/01/1986,05/22/2020,(205)759-1494,
http://search.msboc.us/Detail.cfm?ContractorID=28018&ContractorType=Commercial&varDataSource=BOC,,,401 LOCUST COVE,,MADISON,MS,39110,601-940-0000,,22174-MC,,,"CURRY COMPANY, LLC",GREG CURRY,MADISON,04/05/2017,05/20/2020,601-856-6067,
http://search.msboc.us/Detail.cfm?ContractorID=26226&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 2026,,GULFPORT,MS,39503,228-832-5600,,21835-SC,,,"DANNY MILLER PLUMBING, INC.",ADAM STEVEN MILLER,HARRISON,08/11/2016,08/11/2019,228-832-8005,
http://search.msboc.us/Detail.cfm?ContractorID=26370&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 47 111 E. MILDRED ST.,,LOGANSPORT,IN,46947,574-753-3182,,21735-MC,,,"DILLING GROUP, INC.",GREGORY PARDUE,,06/08/2016,06/12/2020,574-753-7373,
http://search.msboc.us/Detail.cfm?ContractorID=27938&ContractorType=Commercial&varDataSource=BOC,,,35 PINE ST.,,HATTIESBURG,MS,39402,601-466-9211,,22163-MC,,,DISCOUNT SERVICES LLC,DARYL MOODY,LAMAR,04/05/2017,04/05/2020,,
http://search.msboc.us/Detail.cfm?ContractorID=21495&ContractorType=Commercial&varDataSource=BOC,,,6883 HWY 14,,BRIGHTON,TN,38011,901-475-1997,,18509-MC,,,"DRAINGO OF MISSISSIPPI,  .L.L.C.",MIKE JONES,,08/11/2010,07/08/2019,901-476-2246,
http://search.msboc.us/Detail.cfm?ContractorID=11921&ContractorType=Commercial&varDataSource=BOC,,,4165 BRUNSWICK RD.,,MEMPHIS,TN,38133,901-730-4799,,14023-MC,,,"DUNBAR MECHANICAL CONTRACTORS, L.L.C.",BILLY DUNBAR,,10/08/2003,02/20/2020,901-385-7989,
http://search.msboc.us/Detail.cfm?ContractorID=26293&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 9,,TUPELO,MS,38802,662-841-8844,,21729-MC,,,"DYNASTY CONSTRUCTION, LLC",KENNETH MAYFIELD,LEE,06/01/2016,06/01/2019,662-680-3178,
http://search.msboc.us/Detail.cfm?ContractorID=18950&ContractorType=Commercial&varDataSource=BOC,,,10101 TUCKER ROAD,,OCEAN SPRINGS,MS,39565,228-396-1005,,16056-MC,,,E T SERVICES INC.,E. THOMAS RECORE,JACKSON,04/11/2007,08/27/2019,228-396-8733,
http://search.msboc.us/Detail.cfm?ContractorID=11984&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 6846,,GULFPORT,MS,39506,(228)896-2833,,06948-MC,,,"EAGLE MECHANICAL, INC.",MICHAEL DODSON,HARRISON,,05/29/2019,228-897-1865,
http://search.msboc.us/Detail.cfm?ContractorID=20202&ContractorType=Commercial&varDataSource=BOC,,,711 25TH ST.,,MCCOMB,MS,39648,601-551-2652,,17308-MC,,,EDDIE THOMPSON,EDDIE THOMPSON,PIKE,11/13/2008,10/12/2019,601-354-6353,
http://search.msboc.us/Detail.cfm?ContractorID=24444&ContractorType=Commercial&varDataSource=BOC,,,4360 DAWES LANE E,,MOBILE,AL,36619,251-665-0309,,20473-SC,,,ELLISON PLUMBING & PIPING INC,ALBERT SCHIMANSKI,,03/12/2014,03/17/2020,251-665-0370,
http://search.msboc.us/Detail.cfm?ContractorID=23291&ContractorType=Commercial&varDataSource=BOC,,,9109 AMELIA DR.,,ANDERSON,TX,77830,936-851-2120,,19777-SC,,,ENHANCED CONSTRUCTION INC,JAMES PUGH,,12/19/2012,10/08/2019,936-851-2122,
http://search.msboc.us/Detail.cfm?ContractorID=26444&ContractorType=Commercial&varDataSource=BOC,,,1580 MT. PLEASANT RD.,,HERNANDO,MS,38632,901-484-4164,,21765-MC,,,"EPM SERVICES, LLC",BILLY STANDLEY,DESOTO,07/06/2016,08/03/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=13667&ContractorType=Commercial&varDataSource=BOC,,,P O BOX 1639,,JACKSON,MS,39215,(601)933-3166,,06809-MC,,,"ERGON CONSTRUCTION GROUP, INC",JIMMY LANGDON,HINDS,01/07/1986,11/01/2019,(601)939-7640,ISO Services/Alliant Construction/Ergon Maint Serv
http://search.msboc.us/Detail.cfm?ContractorID=29006&ContractorType=Commercial&varDataSource=BOC,,,804 COMBEL STREET,,WAVELAND,MS,39576,228-344-3158,,22842-SC,,,"EXPRESS SERVICE PLUMBING, LLC",JASON WEST,HANCOCK,07/25/2018,07/25/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=28601&ContractorType=Commercial&varDataSource=BOC,,,70161 HWY 59 STE. B,,ABITA SPRINGS,LA,70420,985-893-6165,,22766-SC,,,"FARMER PLUMBING, LLC",DANIEL ROLFSON,,05/30/2018,05/30/2019,985-875-7984,
http://search.msboc.us/Detail.cfm?ContractorID=12544&ContractorType=Commercial&varDataSource=BOC,,,8608 ROSEMARK ROAD,,MILLINGTON,TN,38053,(901)829-3728,,14027-SC,,,"G & R BUILDING MAINTENANCE, LLC",RAY HALE,,10/08/2003,01/15/2020,(901)829-3304,
http://search.msboc.us/Detail.cfm?ContractorID=12590&ContractorType=Commercial&varDataSource=BOC,,,30 MILLER AVENUE,,JACKSON,TN,38305,(731)668-3339,,11452-MC,,,"GARRETT PLUMBING & HEATING CO., INC.",CHARLES GARRETT,,10/14/1998,10/10/2019,(731)664-5541,
http://search.msboc.us/Detail.cfm?ContractorID=26318&ContractorType=Commercial&varDataSource=BOC,,,6525 Guion Rd,,INIDIANAPOLIS,IN,46268,317-537-0993,,21689-SC,,,GEMCO CONSTRUCTORS LLC,BRAD KENDALL,,05/04/2016,05/09/2020,317-426-2716,
http://search.msboc.us/Detail.cfm?ContractorID=19109&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 267,,FOREST,MS,39074,601-469-4932,,16215-SC,,,GENERAL SERVICE COMPANY,JAMES MITCHELL,SCOTT,06/14/2007,04/08/2020,601-469-4931,
http://search.msboc.us/Detail.cfm?ContractorID=12769&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 370,,PARSONS,TN,38363,(731)847-6391,,07583-MC,,,"GRAVES AND GRAVES CONSTRUCTION COMPANY, INC.",JIMMY GILBERT/RALPH TUBBS,,01/05/1988,01/14/2020,(731)847-6114,
http://search.msboc.us/Detail.cfm?ContractorID=12830&ContractorType=Commercial&varDataSource=BOC,,,1100 FIFTH STREET NORTH,,VICKSBURG,MS,39183,(601)634-1928,,12208-SC,,,"GREY PLUMBING, INC.",GARY GREY,WARREN,04/12/2000,07/02/2019,(601)638-1807,
http://search.msboc.us/Detail.cfm?ContractorID=21136&ContractorType=Commercial&varDataSource=BOC,,,311 MAIN ST.,,BAY ST. LOUIS,MS,39520,228-344-8001,,18292-MC,,,"GULF COAST POOLS, LLC",JEFFREY A. HARDING,HANCOCK,04/14/2010,04/08/2020,228-344-3031,
http://search.msboc.us/Detail.cfm?ContractorID=21916&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 3519,,COVINGTON,LA,70434,985-893-7473,,18686-SC,,,"GULF MECHANICAL CO., LLC",GUS HELMSTETTER JR,,12/01/2010,10/08/2019,985-893-0429,
http://search.msboc.us/Detail.cfm?ContractorID=12942&ContractorType=Commercial&varDataSource=BOC,,,121 EDWARDS DRIVE,,JACKSON,TN,38301,(731)422-5211,,08908-MC,,,"H + M INDUSTRIAL SERVICES, INC.",THOMAS MCCALMON,,07/10/1991,04/08/2020,(731)422-1349,
http://search.msboc.us/Detail.cfm?ContractorID=24576&ContractorType=Commercial&varDataSource=BOC,,,3630 NORTH PKWY,,CUMMING,GA,30040,404-480-4258,,20635-SC,,,HALLWAY PLUMBING LLC,CHARLES RHODES,,07/02/2014,07/02/2019,678-867-7327,
http://search.msboc.us/Detail.cfm?ContractorID=21688&ContractorType=Commercial&varDataSource=BOC,,,354 GREEN OAK LANE,,MADISON,MS,39110,601-720-8308,,18585-SC,,,"HARN, LLC",JOHN KELTY,MADISON,10/13/2010,11/07/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=18968&ContractorType=Commercial&varDataSource=BOC,,,1689 LOOP ROAD,,TUSCUMBIA,AL,35674,256-320-3045,,16074-SC,,,HARRISON PLUMBING INC.,HAROLD HARRISON,,04/11/2007,10/09/2019,256-383-2382,
http://search.msboc.us/Detail.cfm?ContractorID=20711&ContractorType=Commercial&varDataSource=BOC,,,3311 COUNTY RD 47,,FLORENCE,AL,35630,256-766-9439,,17815-SC,,,"HEARN PLUMBING COMPANY, INC.",DARREN RHODES,,07/29/2009,08/10/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=13266&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 3665,,JACKSON,MS,39207,601-624-9621,,12607-MC,,,HILLSIDE CONSTRUCTION/PLUMBING COMPANY,DAVID HUGHES,HINDS,01/10/2001,03/05/2020,601-859-4663,
http://search.msboc.us/Detail.cfm?ContractorID=13270&ContractorType=Commercial&varDataSource=BOC,,,300 BELL BOTTOM ROAD,,REDWOOD,MS,39156-9065,662-816-6759,,12211-SC,,,"HINSON PLUMBING CO., INC.",MELVIN HINSON,,04/12/2000,10/24/2019,601-619-9759,
http://search.msboc.us/Detail.cfm?ContractorID=26122&ContractorType=Commercial&varDataSource=BOC,,,9720B HWY 63,,MOSS POINT,MS,39562,228-218-6704,,21711-SC,,,"HJ NORRIS, LLC",HUEY WALKER,JACKSON,05/18/2016,05/18/2020,228-475-4348,
http://search.msboc.us/Detail.cfm?ContractorID=13290&ContractorType=Commercial&varDataSource=BOC,,,21204 DEERWOOD RD.,,KILN,MS,39556,228-669-5948,,05248-SC,,,"HOCKERT PLUMBING, INC.",RICHARD H. HOCKERT/RICHARD HOCKERT JR.,HANCOCK,07/07/1981,12/03/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=13131&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 1028,,JACKSON,TN,38302,(731)664-3021,,07499-MC,,,"HOYT HAYES, JR. CONSTRUCTION, INC.","HOYT HAYES, JR",,10/06/1987,01/14/2020,(731)664-8138,
http://search.msboc.us/Detail.cfm?ContractorID=20289&ContractorType=Commercial&varDataSource=BOC,,,3001 HWY 77,,RUSSELLVILLE,AL,35654,256-332-0198,,17395-SC,,,"HOYT LANE & SON PLUMBING, INC.",JAMES RAINEY,,01/14/2009,01/14/2020,256-332-0178,
http://search.msboc.us/Detail.cfm?ContractorID=13420&ContractorType=Commercial&varDataSource=BOC,,,99 HUGHES DRIVE,,BYHALIA,MS,38611,(662)838-4242,,06930-SC,,,"HUGHES BROTHERS PLUMBING COMPANY, INC.",JIMMY HUGHES,MARSHALL,04/01/1986,08/08/2019,(662)838-4309,
http://search.msboc.us/Detail.cfm?ContractorID=20356&ContractorType=Commercial&varDataSource=BOC,,,635 SWEEDEN RD.,,RUSSELLVILLE,AR,72802,479-498-2001,,17462-MC,,,INDUSTRIAL POWER INC.,RONALD WHITETURKEY,,02/09/2009,02/01/2020,479-498-2197,
http://search.msboc.us/Detail.cfm?ContractorID=22555&ContractorType=Commercial&varDataSource=BOC,,,6275 UNIVERSITY DR. STE. 37-243,,HUNTSVILLE,AL,35806,256-682-3632,,19125-MC,,,INFORMATION SECURITY AND TRAINING LLC,CHRISTIAN ALBERT,,09/12/2007,08/20/2019,256-971-2227,
http://search.msboc.us/Detail.cfm?ContractorID=21616&ContractorType=Commercial&varDataSource=BOC,,,1138 WEEMS STREET,,PEARL,MS,39208,601-807-8588,,18725-MC,,,"INVISION CONSTRUCTION, LLC",JAMES MENG JR,RANKIN,01/05/2010,05/18/2020,,
http://search.msboc.us/Detail.cfm?ContractorID=13670&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 610,,KOSCIUSKO,MS,39090,662-289-3646,,13702-MC,,,"IVEY MECHANICAL COMPANY, LLC",B&A STEWART/C MORGAN/SUPCHURCH/STHOMPSON,ATTALA,01/08/2003,01/14/2020,662-289-3713,
http://search.msboc.us/Detail.cfm?ContractorID=13713&ContractorType=Commercial&varDataSource=BOC,,,214 CAMELLIA STREET,,WAVELAND,MS,39576-2041,(228)463-1261,,10514-MC,,,"J.E.M., L.L.C.",C ADAIR/Z ELKINS/J MARLOWE/K MONTI,,07/10/1996,07/13/2020,(228)466-6249,
http://search.msboc.us/Detail.cfm?ContractorID=19989&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 4298,,GREENVILLE,MS,38701,662-332-0420,,17095-MC,,,JACKSON HEATING & AIR CO. LLC,MALCOLM JACKSON,WASHINGTON,07/09/2008,07/24/2019,662-335-9752,
