File,Last Name,First Name,Street Address 1,Street Address 2,City,State,Zip Code,Phone,Email,License Number,License Status,Company Domain,Company,Certificate Expires,Certificate Registered,Contractor Name,Corporation Name,Entity,Registration Number,Employees,Worker Compensation Status
https://dol.nebraska.gov/conreg/Contractor/Details/2210418,,,1134 NORTH 21ST STREET,"LINCOLN, NE 68503-1695",LINCOLN,NE,68503-1695,4024762323,,,,,"A-1 REFRIGERATION, INC.",11/1/2019,11/1/2018,"A-1 REFRIGERATION, INC.","A-1 REFRIGERATION, INC.",Corporation,22104-18,12,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4355219,,,1445 182nd Road,"Seward, NE 68434",Seward,NE,68434,4025401782,,,,,A4K Heating and Air,5/15/2020,5/15/2019,A4K Heating and Air,A4K Enterprises Inc.,S-Corporation,43552-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/4915819,,,1445 182nd,"Seward, NE 68434",Seward,NE,68434,4025401782,,,,,A4K Plumbing,1/15/2020,1/15/2019,A4K Plumbing,A4K Enterprises Inc,S-Corporation,49158-19,4,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4010119,,,200 Elm Street,"Sumner, MO 64681",Sumner,MO,64681,6608563089,,,,,AA Air,9/15/2019,9/15/2018,AA Air,Jerald W. Ostermann LLC,Sole Proprietorship,40101-19,5,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3618719,,,2713 CAPE HORN CIRCLE,"PLATTSMOUTH, NE 68048",PLATTSMOUTH,NE,68048,4026772960,,,,,AAA SEWER & DRAIN,1/15/2020,1/15/2019,AAA SEWER & DRAIN,,LLC,36187-19,2,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/1282618,,,9265 Leighton Ave,"Lincoln, NE 68507",Lincoln,NE,68507,4024196868,,,,,ABBOS,10/24/2019,10/24/2018,ABBOS,,Sole Proprietorship,12826-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2163118,,,2336 BOB BOOZER DRIVE,"OMAHA, NE 68130",OMAHA,NE,68130,4023348887,,,,,"ABLE PLUMBING, INC.",10/1/2019,10/1/2018,"ABLE PLUMBING, INC.","ABLE PLUMBING, INC.",Corporation,21631-18,16,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2300319,,,PO Box 31541,"OMAHA, NE 68131",OMAHA,NE,68131,4025533353,,,,,"ABRAHAM HEATING & AIR CONDITIONING, INC.",4/1/2020,4/1/2019,"ABRAHAM HEATING & AIR CONDITIONING, INC.","ABRAHAM HEATING & AIR CONDITIONING, INC.",Corporation,23003-19,1,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2823218,,,9641 GLASS RIDGE COURT,"LINCOLN, NE 68526",,,,,,,,,ABSOLUTE COMFORT HTG & AC INC,6/15/2019,6/15/2018,,,,,,
https://dol.nebraska.gov/conreg/Contractor/Details/4599618,,,1737 s 10TH STREET,"OMAHA, NE 68108",OMAHA,NE,68108,4028812629,,,,,"ABSOLUTE PLUMBING, INC.",7/1/2019,7/1/2018,"ABSOLUTE PLUMBING, INC.","ABSOLUTE PLUMBING, INC.",S-Corporation,45996-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2097118,,,2929 No,204th St.,Elkhorn,NE,68022,4022382425,,,,,ACCURATE HEATING & COOLING INC.,7/1/2019,7/1/2018,ACCURATE HEATING & COOLING INC.,ACCURATE HEATING & COOLING INC.,Corporation,20971-18,6,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3135818,,,"PO BOX 1077 / 729 E 7TH STREET, #1","SO SIOUX CITY, NE 68776",SO SIOUX CITY,NE,68776,4024995532,,,,,ACCU-TEMP INC,11/1/2019,11/1/2018,ACCU-TEMP INC,ACCU-TEMP INC,S-Corporation,31358-18,1,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/5095118,,,2985 Enterprise Rd,"Debary, FL 32713",Debary,FL,32713,3866688651,,,,,"Ace Air Conditioning, Inc",12/1/2019,12/1/2018,"Ace Air Conditioning, Inc","Ace Air Conditioning, Inc.",S-Corporation,50951-18,26,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4474018,,,1105 South Paxton St.,"Sioux City, IA 51106",Sioux City,IA,51106,7122660149,,,,,Ace Plumbing,12/15/2019,12/15/2018,Ace Plumbing,,Sole Proprietorship,44740-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/3540918,,,"2182 231st Lane., PO Box 192","Ames, IA 50014",Ames,IA,50014,5155985900,,,,,"ACI Mechanical, Inc.",8/15/2019,8/15/2018,"ACI Mechanical, Inc.",,Corporation,35409-18,66,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2525218,,,5804 NORTH 160TH AVENUE,"OMAHA, NE 68116",OMAHA,NE,68116,4028959898,,,,,ACORN PLUMBING,11/1/2019,11/1/2018,ACORN PLUMBING,GTO INC.,S-Corporation,25252-18,1,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2405319,,,8643 PARKER STREET,"OMAHA, NE 68114",OMAHA,NE,68114,4025718028,,,,,"ACTION HEATING & COOLING,LLC",4/15/2020,4/15/2019,"ACTION HEATING & COOLING,LLC",Action Heating & Cooling LLC,LLC,24053-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/4300819,,,1856 LOMBARDY DRIVE,"RAPID CITY, SD 57703",RAPID CITY,SD,57703,6053485212,,,,,ACTION MECHANICAL INC,3/15/2020,3/15/2019,ACTION MECHANICAL INC,ACTION MECHANICAL INC,S-Corporation,43008-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2219318,,,4101 SOUTH 8TH,"LINCOLN, NE 68502",LINCOLN,NE,68502,4024236960,,,,,"ACTION PLUMBING, HEATING & AIR CONDITIONING INC.",11/15/2019,11/15/2018,"ACTION PLUMBING, HEATING & AIR CONDITIONING INC.","ACTION PLUMBING, HEATING & AIR CONDITIONING INC.",Corporation,22193-18,53,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2605918,,,324 Aaron Ave NW,"Bondurant, IA 50035",Bondurant,IA,50035,5154509302,,,,,"Action Plus Plumbing, Heating, & Cooling, LLC",5/31/2019,5/31/2018,"Action Plus Plumbing, Heating, & Cooling, LLC",,LLC,26059-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2854818,,,11318 JEFFERSON STREET,"ODELL, NE 68415",ODELL,NE,68415,4027663738,,,,,ADAMS PLUMBING & HEATING,7/1/2019,7/1/2018,ADAMS PLUMBING & HEATING,,Sole Proprietorship,28548-18,3,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3347218,,,1425 Indian st,"ST PAUL, NE 68873",ST PAUL,NE,68873,3083822446,,,,,ADVANCED CLIMATE CONTROL,9/15/2019,9/15/2018,ADVANCED CLIMATE CONTROL,ADVANCED CLIMATE CONTROL,S-Corporation,33472-18,8,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4797318,,,"232 North West Street, PO Box 622","Valley, NE 68064",Valley,NE,68064,4023592213,,,,,Advanced Heating and Air Conditioning Inc,6/15/2019,6/15/2018,Advanced Heating and Air Conditioning Inc,Advanced Heating and Air Conditioning Inc,S-Corporation,47973-18,3,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4469318,,,11833 s.w,29th st,Martell,NE,68404,4025600609,,,,,ADVANCED PLUMBING LLC,11/15/2019,11/15/2018,ADVANCED PLUMBING LLC,,LLC,44693-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2406119,,,1205 ROYAL DRIVE,"PAPILLION, NE 68046",PAPILLION,NE,68046,4025961552,,,,,"ADVANTAGE A/C HEATING & REFRIGERATION, INC.",4/15/2020,4/15/2019,"ADVANTAGE A/C HEATING & REFRIGERATION, INC.","ADVANTAGE A/C HEATING & REFRIGERATION, INC.",Corporation,24061-19,4,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/9291118,,,PO Box 177,"Oconto, NE 68860",Oconto,NE,68860,3088584833,,,,,ADVANTAGE PLUMBING,11/1/2019,11/1/2018,ADVANTAGE PLUMBING,,Sole Proprietorship,92911-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/4512119,,,5609 Ogden,"Omaha, NE 68104",Omaha,NE,68104,7123107965,,,,,Aero Furnace & Air Condition LLC,3/1/2020,3/1/2019,Aero Furnace & Air Condition LLC,,LLC,45121-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/3866619,,,PO Box 16,"Yutan, NE 68073",Yutan,NE,68073,4028027700,,,,,AeroMan Solutions,2/15/2020,2/15/2019,AeroMan Solutions,,Sole Proprietorship,38666-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/4731519,,,2171 Alabama Hwy 229,"Tallassee, AL 36078",Tallassee,AL,36078,3342520380,,,,,"AES Mechanical Services Group, INC",3/15/2020,3/15/2019,"AES Mechanical Services Group, INC","AES Mechanical Services Group, Inc.",Corporation,47315-19,60,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/5136119,,,222 W 12th St,"Falls City, NE 68355",Falls City,NE,68355,4022458238,,,,,Affordable Home Maintenance,2/15/2020,2/15/2019,Affordable Home Maintenance,"BeSt Service Group, LLC",LLC,51361-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/5095519,,,PO Box 2243,"Scottsbluff, NE 69363",Scottsbluff,NE,69363,3082751350,,,,,Affordable HVAC,4/1/2020,4/1/2019,Affordable HVAC,,LLC,50955-19,5,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/5127719,,,15031 Hearthstone Dr,"Council Bluffs, IA 51503",Council Bluffs,IA,51503,4028275700,,,,,Air Care Heating & Air LLC,2/1/2020,2/1/2019,Air Care Heating & Air LLC,Air Care Heating & Air LLC,LLC,51277-19,5,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2838318,,,2645 N Broad St,"Fremont, NE 68025",Fremont,NE,68025,4027216576,,,,,Air Comfort Heating & Cooling Inc.,7/1/2019,7/1/2018,Air Comfort Heating & Cooling Inc.,Air Comfort Heating & Cooling Inc.,Corporation,28383-18,10,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4744619,,,80 14th Ave N,"Clinton, IA 52732",Clinton,IA,52732,5632437228,,,,,"Air Control, Inc.",4/1/2020,4/1/2019,"Air Control, Inc.",ACI Fabricators,Corporation,47446-19,31,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3318818,,,1321 South Main St,"COUNCIL BLUFFS, IA 51501",COUNCIL BLUFFS,IA,51501,7122564443,,,,,Aire Serv Heating & Air Conditioning,8/1/2019,8/1/2018,Aire Serv Heating & Air Conditioning,Waldstein HVAC LLC,LLC,33188-18,6,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/5075219,,,1222 16th Street,"Auburn, NE 68305",Auburn,NE,68305,4024141613,,,,,"Airstream Heating and Cooling, LLC",10/15/2019,10/15/2018,"Airstream Heating and Cooling, LLC",,LLC,50752-19,3,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2605119,,,13316 C STREET,"OMAHA, NE 68144",OMAHA,NE,68144,4024454566,,,,,"AIRTECH SERVICE, INC.",3/15/2020,3/15/2019,"AIRTECH SERVICE, INC.","AIRTECH SERVICE, INC.",Corporation,26051-19,10,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/9966818,,,PO Box 71,"Shubert, NE 68437",Shubert,NE,68437,4022970855,,,,,AirWise,6/15/2019,6/15/2018,AirWise,,Sole Proprietorship,99668-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2793918,,,910 8th St,"NORTH PLATTE, NE 69101",,,,,,,,,A-J SHEET METAL INC,6/1/2019,6/1/2018,,,,,,
https://dol.nebraska.gov/conreg/Contractor/Details/2151818,,,7070 SOUTH 108TH STREET,"OMAHA, NE 68128-5748",OMAHA,NE,68128-5748,4023311233,,,,,AKSARBEN HEATING & AIR CONDITIONING & PLUMBING CO,9/1/2019,9/1/2018,AKSARBEN HEATING & AIR CONDITIONING & PLUMBING CO,AMERICAN RESIDENTIAL SERVICES LLC,LLC,21518-18,185,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2236218,,,2230 SOUTH 27TH STREET,"OMAHA, NE 68105",OMAHA,NE,68105,4023421215,,,,,"AKSARBEN PIPE & SEWER CLEANING, LLC.",11/15/2019,11/15/2018,"AKSARBEN PIPE & SEWER CLEANING, LLC.","AKSARBEN PIPE & SEWER CLEANING, LLC.",LLC,22362-18,14,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/9407218,,,1138 POPLAR ST,"GRAND ISLAND, NE 68801",GRAND ISLAND,NE,68801,3083842291,,,,,ALDANA PLUMBING,10/1/2019,10/1/2018,ALDANA PLUMBING,,Sole Proprietorship,94072-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2843018,,,"440 W 8TH STREET, PO BOX 213","NORTH BEND, NE 68649",NORTH BEND,NE,68649,4026528702,,,,,"ALEX LEGGE PLUMBING, INC",7/1/2019,7/1/2018,"ALEX LEGGE PLUMBING, INC",,S-Corporation,28430-18,2,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3514618,,,1002 Ave B,"KEARNEY, NE 68847",KEARNEY,NE,68847,3082335744,,,,,All AMERICAN SEWER & DRAIN LLC,6/15/2019,6/15/2018,All AMERICAN SEWER & DRAIN LLC,All American Sewer & Drain LLC,LLC,35146-18,2,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3144318,,,1205 N 6TH,"BEATRICE, NE 68310",BEATRICE,NE,68310,4022282127,,,,,ALL SEASONS CORP,11/1/2019,11/1/2018,ALL SEASONS CORP,ALL SEASONS CORP,S-Corporation,31443-18,6,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2210618,,,PO BOX 9,"ELKHORN, NE 68022",ELKHORN,NE,68022,4023462222,,,,,ALL SEASONS HEATING & AIR CONDITIONING,11/1/2019,11/1/2018,ALL SEASONS HEATING & AIR CONDITIONING,ALL SEASONS HEATING & AIR CONDITIONING,Corporation,22106-18,6,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4890618,,,205 Itan Drive,"Yutan, NE 68073",Yutan,NE,68073,4026259728,,,,,"All Star Plumbing, LLC",11/15/2019,11/15/2018,"All Star Plumbing, LLC",,LLC,48906-18,1,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2882018,,,303 EMPIRE AVE,"FREMONT, NE 68025",FREMONT,NE,68025,4027278855,,,,,ALL SYSTEMS LLC,7/1/2019,7/1/2018,ALL SYSTEMS LLC,,LLC,28820-18,13,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/7342118,,,17801 south 12th,"Roca, NE 68430",Roca,NE,68430,4027709529,,,,,Allen's service,10/31/2019,10/31/2018,Allen's service,,Sole Proprietorship,73421-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/4933318,,,405 Washington St,"Douglas, NE 68344-3004",Douglas,NE,68344-3004,4027992761,,,,,Allpro Plumbing,9/15/2019,9/15/2018,Allpro Plumbing,,Sole Proprietorship,49333-18,1,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/5077618,,,305 N,Newell Ave.,Minden,NE,68959,3082247763,,,,,Alltemp Refrigeration,10/15/2019,10/15/2018,Alltemp Refrigeration,,LLC,50776-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/3245919,,,206 GRANT ST,"HOLDREGE, NE 68949",HOLDREGE,NE,68949,3089952737,,,,,"ALPHA HEATING AND AIR, LLC",3/15/2020,3/15/2019,"ALPHA HEATING AND AIR, LLC","ALPHA HEATING AND AIR, LLC",Sole Proprietorship,32459-19,6,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2829818,,,5308 W Saddlehorse Dr.,"KEARNEY, NE 68847",,,,,,,,,AL'S HEATING & AIR CONDITIONING INC,6/15/2019,6/15/2018,,,,,,
https://dol.nebraska.gov/conreg/Contractor/Details/4260318,,,20214 Veterans Dr #600,"Omaha, NE 68022",Omaha,NE,68022,4028818345,,,,,American Energy Advisors,12/15/2019,12/15/2018,American Energy Advisors,"AEA, LLC",LLC,42603-18,28,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3930018,,,7065 Maple St,"Omaha, NE 68104",,,,,,,,,"American Rooter, Inc",6/1/2019,6/1/2018,,,,,,
https://dol.nebraska.gov/conreg/Contractor/Details/2817118,,,849 N 252 ST,"WATERLOO, NE 68069",,,,,,,,,ANDERSEN PLUMBING,6/15/2019,6/15/2018,,,,,,
https://dol.nebraska.gov/conreg/Contractor/Details/2933418,,,P.O,Box 159,KEARNEY,NE,68848-0159,3082366437,,,,,"ANDERSON BROS ELECTRIC, PLUMBING & HEATING",8/1/2019,8/1/2018,"ANDERSON BROS ELECTRIC, PLUMBING & HEATING","ANDERSON BROS ELECTRIC, PLUMBING & HEATING, INC.",Corporation,29334-18,58,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3146218,,,17610 Storage Rd Ste B,"OMAHA, NE 68136",OMAHA,NE,68136,4029343912,,,,,ANDERSON COMFORT,11/1/2019,11/1/2018,ANDERSON COMFORT,ANDERSON COMFORT SYSTEMS LLC,LLC,31462-18,5,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/5104818,,,1779 110th St.,"Sioux City, IA 51108",Sioux City,IA,51108,7122584328,,,,,Anderson Heating & Cooling,12/15/2019,12/15/2018,Anderson Heating & Cooling,"GMA, INC",S-Corporation,51048-18,5,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4862318,,,PO Box 590,"Blair, NE 68008",Blair,NE,68008,4025334700,,,,,"ANG Refrigeration, Heating & Air Conditioning, Inc",9/15/2019,9/15/2018,"ANG Refrigeration, Heating & Air Conditioning, Inc",,S-Corporation,48623-18,3,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3345818,,,130 WASHINGTON PO Box 41,"CLATONIA, NE 68328",CLATONIA,NE,68328,4028217447,,,,,ANYTIME PLUMBING AND HEATING,9/15/2019,9/15/2018,ANYTIME PLUMBING AND HEATING,ANYTIME PLUMBING AND HEATING,LLC,33458-18,4,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4505319,,,6526 county road 34,"fort calhoun, NE 68023",fort calhoun,NE,68023,4026697249,,,,,AP Plumbing,2/1/2020,2/1/2019,AP Plumbing,,LLC,45053-19,3,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2069118,,,114 WEST MISSION AVENUE,"BELLEVUE, NE 68005-5234",,,,,,,,,APOLLO HEATING & AIR CONDITIONING,6/15/2019,6/15/2018,,,,,,
https://dol.nebraska.gov/conreg/Contractor/Details/3098918,,,1025 WEST 10TH STREET,"CRETE, NE 68333",CRETE,NE,68333,4028262101,,,,,AQUA PLUMBING AND HEATING LLC,9/1/2019,9/1/2018,AQUA PLUMBING AND HEATING LLC,,S-Corporation,30989-18,11,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3606018,,,1517 AVE, I,SCOTTSBLUFF,NE,69361,3086353051,,,,,ARC SERVICES,12/15/2019,12/15/2018,ARC SERVICES,,Sole Proprietorship,36060-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/9996119,,,PO BOX 381,"WESTERN, NE 68464",WESTERN,NE,68464,4024332147,,,,,ARCTIC AIR CONDITIONING & HEATING CO.,2/15/2020,2/15/2019,ARCTIC AIR CONDITIONING & HEATING CO.,,Sole Proprietorship,99961-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/4463019,,,p.o,box 324,overton,NE,68863,8778625245,,,,,AREA SERVICES INC.,11/1/2019,11/1/2018,AREA SERVICES INC.,AREA SERVICES INC.,Sole Proprietorship,44630-19,3,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/9754518,,,7005 S 79th St,"La Vista, NE 68128",La Vista,NE,68128,4023206061,,,,,Ark Specialties LLC,10/1/2019,10/1/2018,Ark Specialties LLC,,Sole Proprietorship,97545-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/9939218,,,19909 Maple St,"GRETNA, NE 68028",GRETNA,NE,68028,4026813521,,,,,ARM PLUMBING LLC,8/15/2019,8/15/2018,ARM PLUMBING LLC,,LLC,99392-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/4807218,,,1860 E Pump Station Rd,"Fayetteville, AR 72701",Fayetteville,AR,72701,4794436506,,,,,ARMI Contractors,7/1/2019,7/1/2018,ARMI Contractors,Arkansas Myriad Incorporated,S-Corporation,48072-18,70,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/9900519,,,1971 D Street,"Lincoln, NE 68502",Lincoln,NE,68502,4024741971,,,,,Armstrong Plumbing LLC,2/15/2020,2/15/2019,Armstrong Plumbing LLC,RMSTRONGPLUMBINGLLV,LLC,99005-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2906018,,,106 E 889TH RD,"HARTINGTON, NE 68739",HARTINGTON,NE,68739,4022546444,,,,,ART KATHOL APPLIANCE INC.,7/15/2019,7/15/2018,ART KATHOL APPLIANCE INC.,ART KATHOL APPIANCE INC.,Corporation,29060-18,9,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4872818,,,8978 J St,"Omaha, NE 68127",Omaha,NE,68127,4027069931,,,,,ASAP Plumbing Inc.,10/15/2019,10/15/2018,ASAP Plumbing Inc.,ASAP Plumbing Inc.,S-Corporation,48728-18,5,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2897918,,,2210 DAKOTA AVE,"S SIOUX CITY, NE 68776",S SIOUX CITY,NE,68776,4024944736,,,,,A-TEAM HEATING & COOLING,7/15/2019,7/15/2018,A-TEAM HEATING & COOLING,,Corporation,28979-18,3,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2972218,,,PO Box 837,"Kearney, NE 68848",Kearney,NE,68848,3082363373,,,,,Aten Plumbing,8/1/2019,8/1/2018,Aten Plumbing,"A10, INC",Corporation,29722-18,1,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3701019,,,5435 S 51 AVE,"OMAHA, NE 68117",OMAHA,NE,68117,4029327448,,,,,ATLAS HEATING & COOLING INC,5/15/2020,5/15/2019,ATLAS HEATING & COOLING INC,,S-Corporation,37010-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2903818,,,1013 CENTRAL AVENUE,"AUBURN, NE 68305",AUBURN,NE,68305,4022744030,,,,,AUBURN PLUMBING HEATING & A C INC,7/15/2019,7/15/2018,AUBURN PLUMBING HEATING & A C INC,,S-Corporation,29038-18,3,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/2826018,,,314 WEST FRONT ST,"NORTH PLATTE, NE 69101",,,,,,,,,AUPPERLE PLUMBING AND HEATING INC.,6/15/2019,6/15/2018,,,,,,
https://dol.nebraska.gov/conreg/Contractor/Details/2370418,,,8321 Cody Dr,Suite F,LINCOLN,NE,68512,4024387992,,,,,"AW HEATING & AIR CONDITIONING, INC.",8/15/2019,8/15/2018,"AW HEATING & AIR CONDITIONING, INC.","AW HEATING & AIR CONDITIONING, INC.",Corporation,23704-18,16,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3703619,,,29030 310th Rd,"PLEASANTON, NE 68866",PLEASANTON,NE,68866,3083882010,,,,,AXMANN HEATING & AIR CONDITIONING,5/15/2020,5/15/2019,AXMANN HEATING & AIR CONDITIONING,AXMANN HEATING & AIR CONDITIONING,Corporation,37036-19,6,Certificate on File
